@RELATION dn2a_lag

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE c-3 REAL
@ATTRIBUTE c-2 REAL
@ATTRIBUTE c-1 REAL
@ATTRIBUTE c REAL

@DATA
-1.103308023,7.222342296,-32.67765364,-33.29818906,-33.87152718,-34.39832167
-1.104435831,7.166045245,-33.29818906,-33.87152718,-34.39832167,-34.87924229
-1.104896197,7.108861816,-33.87152718,-34.39832167,-34.87924229,-35.3149745
-1.104699715,7.050808421,-34.39832167,-34.87924229,-35.3149745,-35.70621907
-1.103857192,6.991901716,-34.87924229,-35.3149745,-35.70621907,-36.0536918
-1.102379652,6.932158592,-35.3149745,-35.70621907,-36.0536918,-36.35812305
-1.10027832,6.871596174,-35.70621907,-36.0536918,-36.35812305,-36.62025744
-1.097564624,6.810231809,-36.0536918,-36.35812305,-36.62025744,-36.8408534
-1.094250186,6.748083068,-36.35812305,-36.62025744,-36.8408534,-37.02068283
-1.090346816,6.68516773,-36.62025744,-36.8408534,-37.02068283,-37.16053069
-1.085866507,6.621503783,-36.8408534,-37.02068283,-37.16053069,-37.26119459
-1.080821432,6.557109414,-37.02068283,-37.16053069,-37.26119459,-37.32348437
-1.075223932,6.492003004,-37.16053069,-37.26119459,-37.32348437,-37.34822173
-1.069086515,6.426203122,-37.26119459,-37.32348437,-37.34822173,-37.3362398
-1.062421848,6.359728514,-37.32348437,-37.34822173,-37.3362398,-37.28838268
-1.055242751,6.292598102,-37.34822173,-37.3362398,-37.28838268,-37.20550507
-1.04756219,6.224830975,-37.3362398,-37.28838268,-37.20550507,-37.08847183
-1.039393275,6.15644638,-37.28838268,-37.20550507,-37.08847183,-36.9381575
-1.030749246,6.087463718,-37.20550507,-37.08847183,-36.9381575,-36.75544594
-1.021643475,6.017902536,-37.08847183,-36.9381575,-36.75544594,-36.5412298
-1.012089452,5.94778252,-36.9381575,-36.75544594,-36.5412298,-36.29641016
-1.002100785,5.877123488,-36.75544594,-36.5412298,-36.29641016,-36.02189605
-0.99169119,5.805945381,-36.5412298,-36.29641016,-36.02189605,-35.71860396
-0.980874484,5.734268261,-36.29641016,-36.02189605,-35.71860396,-35.38745745
-0.969664581,5.662112297,-36.02189605,-35.71860396,-35.38745745,-35.02938666
-0.958075483,5.589497762,-35.71860396,-35.38745745,-35.02938666,-34.64532785
-0.946121275,5.516445027,-35.38745745,-35.02938666,-34.64532785,-34.23622295
-0.933816116,5.44297455,-35.02938666,-34.64532785,-34.23622295,-33.80301908
-0.921174236,5.369106869,-34.64532785,-34.23622295,-33.80301908,-33.34666813
-0.908209927,5.294862598,-34.23622295,-33.80301908,-33.34666813,-32.86812621
